Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"Current statement period","2026-03-20","withdrawal","Free Interac E-Transfer ","Debit","-150.00","7123.64"
"","2026-03-20","withdrawal","Free Interac E-Transfer ","Debit","-43.18","7273.64"
"","2026-03-20","deposit","Free Interac E-Transfer ","Credit","12.50","7316.82"
"","2026-03-20","payroll deposit","Marvell Semiconductor ","Credit","1293.73","7304.32"
"","2026-03-19","deposit","Free Interac E-Transfer ","Credit","12.00","6010.59"
"","2026-03-19","withdrawal","Free Interac E-Transfer ","Debit","-41.55","5998.59"
"","2026-03-14","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-1000.00","6040.14"
"","2026-03-11","withdrawal","Free Interac E-Transfer ","Debit","-36.40","7040.14"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-277.78","7076.54"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-266.67","7354.32"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-277.78","7620.99"
"","2026-03-11","pos purchase","Opos Taptap Send Canada  Toron ","Debit","-1000.00","7898.77"
"","2026-03-06","payroll deposit","Marvell Semiconductor ","Credit","1318.08","8898.77"
"","2026-03-05","withdrawal","Free Interac E-Transfer ","Debit","-3.50","7580.69"
"","2026-03-05","withdrawal","Free Interac E-Transfer ","Debit","-2500.00","7584.19"
"","2026-03-04","deposit","Free Interac E-Transfer ","Credit","1000.00","10084.19"
"","2026-03-02","deposit","Free Interac E-Transfer ","Credit","997.00","9084.19"
"","2026-03-02","withdrawal","Free Interac E-Transfer ","Debit","-2500.00","8087.19"
"","2026-03-02","withdrawal","Free Interac E-Transfer ","Debit","-7.00","10587.19"
"","2026-03-02","withdrawal","Free Interac E-Transfer ","Debit","-3000.00","10594.19"
"","2026-02-27","withdrawal","Free Interac E-Transfer ","Debit","-5.00","13594.19"
"","2026-02-25","withdrawal","Free Interac E-Transfer ","Debit","-5.00","13599.19"
"","2026-02-24","withdrawal","Free Interac E-Transfer ","Debit","-10.00","13604.19"
"","2026-02-24","withdrawal","Free Interac E-Transfer ","Debit","-6.00","13614.19"
"","2026-02-23","deposit","Free Interac E-Transfer ","Credit","164.80","13620.19"
"","2026-02-23","deposit","Free Interac E-Transfer ","Credit","157.26","13455.39"
"","2026-02-20","payroll deposit","Marvell Semiconductor ","Credit","1318.08","13298.13"
"","2026-02-19","withdrawal","Free Interac E-Transfer ","Debit","-134.78","11980.05"
